Date,Vch/Bill No,Particulars,Item Details,Qty.,Unit,Price,Amount
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14100KCC910S,1,Pcs.,802.9,802.9
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14311035000S,5,Pcs.,39.82,199.1
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14401KWS901S,2,Pcs.,81.14,162.28
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14430KST940S,2,Pcs.,179.16,358.32
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14431035020RS,2,Pcs.,179.16,358.32
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,14550GB0910RS,10,Pcs.,72.99,729.9
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,22121198900S,2,Pcs.,195.66,391.32
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,22201AAHA01S,40,Pcs.,48.12,1924.8
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,22350115020S,2,Pcs.,126.08,252.16
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,23121KST901S,5,Pcs.,189.25,946.25
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,33K111S,1,Pcs.,424.68,424.68
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,33K112S,1,Pcs.,441.27,441.27
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,35010AAC701S,1,Pcs.,686.79,686.79
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,35100AAE102S,2,Pcs.,298.53,597.06
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,35100AAGH21S,1,Pcs.,441.2,441.2
2026-07-01,26-27/01429/Hero,Janta Auto Parts | AFM | Meerganj,K14144KZAAW00S,2,Pcs.,340.81,681.62
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,11102GT8B00S,1,Pcs.,27.87,27.87
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,14711AAT00099S,2,Pcs.,91.57,183.14
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,16950KRP981S,1,Pcs.,213.66,213.66
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,17511KCC905ZBS,3,Pcs.,192.43,577.29
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,22121AAHF01S,1,Pcs.,179.82,179.82
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,22121AAHF01S,2,Pcs.,209.02,418.04
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,22870KWA940S,10,Pcs.,70.34,703.4
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,25K160S,2,Pcs.,222.29,444.58
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,3370BAAC201S,1,Pcs.,331.78,331.78
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,35010AAE301S,3,Pcs.,567.35,1702.05
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,37800AAE30099S,2,Pcs.,315.19,630.38
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,43451KCC600S,4,Pcs.,39.15,156.6
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,53178AAFH00S,4,Pcs.,66.36,265.44
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,K53531HF100DS,17,Pcs.,39.82,676.94
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,K91902HF100DS,5,Pcs.,44.46,222.3
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,11102GT8B00S,13,Pcs.,27.87,362.31
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,11102GT8B00S,6,Pcs.,36.5,219.0
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,14520KTC902S,5,Pcs.,173.21,866.05
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,14711AAT00099S,2,Pcs.,91.57,183.14
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,14711AAT00099S,1,Pcs.,106.17,106.17
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,16950KRP981S,3,Pcs.,213.66,640.98
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,17511KCC905ZBS,2,Pcs.,192.43,384.86
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,22121AAHF01S,2,Pcs.,209.02,418.04
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,22870KWA940S,5,Pcs.,70.34,351.7
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,25K160S,3,Pcs.,222.29,666.87
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,28302KAG900S,10,Pcs.,79.62,796.2
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,3370BAAC201S,1,Pcs.,331.78,331.78
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,38501AAW30099S,5,Pcs.,106.17,530.85
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,43451KCC600S,1,Pcs.,39.15,39.15
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,52400KWA90099S,2,Pcs.,694.59,1389.18
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,53178AAFH00S,11,Pcs.,66.36,729.96
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,K12121AATA001S,1,Pcs.,1824.76,1824.76
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,K53531HF100DS,33,Pcs.,39.82,1314.06
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,53100AAE000S,2,Pcs.,282.01,564.02
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,53100AAE110S,2,Pcs.,338.41,676.82
2026-07-01,26-27/01430/Hero,Saqlani Automobile | AFM | Nakatia,80100KST940S,1,Pcs.,418.04,418.04
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,53100AAE000S,2,Pcs.,282.01,564.02
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,17910AAE300S,5,Pcs.,72.92,364.6
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,23471GN5910S,5,Pcs.,301.92,1509.6
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,35010AAHA01S,2,Pcs.,640.34,1280.68
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,35100AACH01S,2,Pcs.,344.98,689.96
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,35750001000S,10,Pcs.,43.13,431.3
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,37800AAG500S,1,Pcs.,335.1,335.1
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,42303AAC500S,10,Pcs.,43.13,431.3
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,45010AAD000S,1,Pcs.,527.53,527.53
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,45251KSP861S,1,Pcs.,855.99,855.99
2026-07-01,26-27/01431/Hero,Gangwar Service Center | AFM | Meerganj,53175KSP900S,2,Pcs.,76.31,152.62
