Particulars,Sales Executive,Value Target
Khandelwal Auto Parts,Chainsets,10000
Pooja Spares | Chainsets | Gola,Chainsets,10000
Sanjay Cycles | C B Ganj,Chainsets,10000
Aakash Auto Service | AFM | Chaupla,Mohit,10000
Adil Auto Parts | AFM | Sirauli,Mohit,10000
Amardeep | AFM | Choupla,Mohit,10000
Bareilly Auto Parts | AFM | Aonla,Mohit,10000
Dayal Auto Spares | AFM | Nawabganj,Mohit,10000
Delhi Automobile | AFM | Sirauli,Mohit,10000
Dharamveer Auto Parts | AFM | Faridpur,Mohit,10000
Dolphin Automotives | AFM | Choupla,Mohit,10000
G B Auto Care | AFM | Chaupla,Mohit,10000
Gaazi Auto Parts | AFM | Aonla,Mohit,10000
Golden Auto Centre | AFM | Shyamganj,Mohit,10000
Guddu Auto Service Center | AFM | Aonla,Mohit,10000
Hasan And Jafar Auto | AFM | Sirauli,Mohit,10000
Haseeb Auto Parts | AFM | Nawabganj,Mohit,10000
Hasim Auto Service | AFM | Dunka,Mohit,10000
Hussain Spare Parts | AFM | Sheeshgarh,Mohit,10000
Irfan Auto (Haseeb) | AFM | Nawabganj,Mohit,10000
Jai Guru Dev Auto | AFM | Nawabganj,Mohit,10000
Jai Hanuman Autoparts | AFM | Aonla,Mohit,10000
Jay Hanuman Auto Parts | AFM | Aonla,Mohit,10000
Khan Auto Parts | AFM | Shahi,Mohit,10000
Krishna Auto Services | AFM | Aonla,Mohit,10000
M S Automobile | AFM | Shyamganj,Mohit,10000
New Punjab Auto Spares | AFM | Islamia,Mohit,10000
Nitin Auto Mobile | AFM | Aonla,Mohit,10000
Pal Automobile | AFM | Aonla,Mohit,10000
Pintu Aotomobile | AFM | Aonla,Mohit,10000
Qadri Auto Parts | AFM | Aonla,Mohit,10000
R K Auto Parts | AFM | Bindaulia,Mohit,10000
Raj Auto Spare Parts | AFM | Nawabganj,Mohit,10000
Raj Cycle Works | AFM | C B Ganj,Mohit,10000
Rajeev Auto Mobile | AFM | Choupla,Mohit,10000
Ramesh Auto Service | AFM | Aonla,Mohit,10000
Raza Auto Parts | AFM | Aonla,Mohit,10000
Raza Auto Parts | AFM | Faridpur,Mohit,10000
Raza Auto Service | AFM | Nakatia,Mohit,10000
Riyaz Automobiles | AFM | Nawabganj,Mohit,10000
Salman Auto Parts | AFM | Nawabganj,Mohit,10000
Sameer Auto Parts | AFM | Faridpur,Mohit,10000
Saqlani Automobile | AFM | Nakatia,Mohit,10000
Sartaz Auto Service | AFM | Choupla,Mohit,10000
Shadab Auto Parts | AFM | Nawabganj,Mohit,10000
Shadab Auto | Salman | Nawabganj,Mohit,10000
Shri Bala Ji Auto Parts | AFM | Aonla,Mohit,10000
Siraj Auto Care | AFM | Chaupla,Mohit,10000
Surendr Cycle | AFM | C B Ganj,Mohit,10000
Sushil Auto Parts | AFM | Choupla,Mohit,10000
Taiyab Auto Parts | AFM | Choupla,Mohit,10000
Umesh Automobile | AFM | Aonla,Mohit,10000
Verma Auto Parts | AFM | Aonla,Mohit,10000
Z R Auto Traders | AFM | Choupla,Mohit,10000
J D Enterprises | AFM | Pilibhit,Office,10000
Krishna M/c Store | AFM | Allahpur,Office,10000
Krishna M/c Store | Mahindra | Allahpur,Office,10000
S K Enterprises | AFM | Shahjahnpur,Office,10000
Verma Auto Agencies | AFM | Barabanki,Office,10000
Delhi Auto Parts | AFM | Fatehagnj West,Pawan,10000
Gangwar Auto Parts | AFM | Aherola Bhuta,Pawan,10000
Gangwar Service Center | AFM | Meerganj,Pawan,10000
Hari Prakesh Auto | AFM | Fatehganj West,Pawan,10000
Janta Auto Parts | AFM | Meerganj,Pawan,10000
Krishna Auto Service | AFM | Mirzapur,Pawan,10000
Lodhi Motors | AFM | Fatehganj West,Pawan,10000
Maa Durga GST | AFM | Harunagla,Pawan,10000
Mourya Auto | AFM | Fatehganj West,Pawan,10000
Prashant Automobiles | AFM | Lalpur,Pawan,10000
Raza Auto Parts | AFM | Fatehganj West,Pawan,10000
Singh Automobiles | AFM | Harunagla,Pawan,10000
Veer Pal Auto Service | AFM | Bhuta,Pawan,10000
Aban Auto Parts | AFM | Kargaina,Shivam,10000
Agarwal Automobile | AFM | Koharapeer,Shivam,10000
Bharat auto spare | AFM | Koharapeer,Shivam,10000
Dashmesh Auto Parts | AFM | Kargaina,Shivam,10000
Delhi Auto Parts | AFM | Koharapeer,Shivam,10000
Guru Kripa Auto | AFM | Koharapeer,Shivam,10000
K P Auto Parts | AFM | Lal Fatak,Shivam,10000
L K Auto Traders | AFM | Stadium Road,Shivam,10000
Pramod Service Center | AFM | Ballia,Shivam,10000
Rajdhani Auto Spares | AFM | Koharapeer,Shivam,10000
Rashid Auto Service | AFM | Devchara,Shivam,10000
Raza Auto Service | AFM | Ballia,Shivam,10000
Shri Ram Auto Parts | AFM | Kargaina,Shivam,10000
Gurunanak Hardwares | AFM | Madho Tanda,Vijay,10000
Hero Honda Automobile | AFM | Puranpur,Vijay,10000
Kailash Automobile | AFM | Puranpur,Vijay,10000
Meetu Khandelwal | AFM | Puranpur,Vijay,10000
Mishra M/c Store | AFM | Bilsanda,Vijay,10000
New Khan Auto | AFM | Bisalpur,Vijay,10000
New Shiv Auto Spare | AFM | Bisalpur,Vijay,10000
Nidhi Auto Service | AFM | Puranpur,Vijay,10000
Pankaj Auto | AFM | Bisalpur,Vijay,10000
Pankaj Auto | AFM | Bisapur | Schemes,Vijay,10000
Power Auto Parts | AFM | Puranpur,Vijay,10000
SMJ & Company | AFM | Bisalpur,Vijay,10000
Sarthak Traders | AFM | Puranpur,Vijay,10000
Shubh Auto Parts | AFM | Puranpur,Vijay,10000
