Sr. No.,Part number,Description,Part Group,Scheme
1,20K1010S,CHAIN SPROCKET KIT( XTREME/HUNK),Chain Sprocket Kit,PG
2,20K110S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
3,20K1110S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
4,20K1120S,CHAIN SPROCKET KIT ( NEW),Chain Sprocket Kit,PG
5,20K210S,CHAIN SPROCKET KIT-SPLENDOR,Chain Sprocket Kit,PG
6,20K310S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
7,20K410S,CHAIN SPROCKET KIT-PASSION,Chain Sprocket Kit,PG
8,20K450S,CHAIN SPROKET KIT,Chain Sprocket Kit,PG
9,20K600S,CHAIN SPROCKET KIT (KARIZMA),Chain Sprocket Kit,PG
10,20K810S,CHAIN SPROCKET KIT (GLAMOUR),Chain Sprocket Kit,PG
11,20K820S,CHAIN SPROKET KIT,Chain Sprocket Kit,PG
12,20K910S,CHAIN SPROCKET KIT (ACHIEVER),Chain Sprocket Kit,PG
13,K41412AAFF400S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
14,K41412AANNB00S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
15,K41412AABMA00S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
16,K41412ABZA000S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
17,K41412KSTG941S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
18,K40405AAGRC00S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
19,K40405KVEA901S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
20,K41405AACNB10S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
21,K41405AAJPA00S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
22,K41412AAJAH00S,CHAIN SPROCKET KIT,Chain Sprocket Kit,PG
23,K41412AAJAH02S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
24,K41412ABWB100S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
25,K41412ABWJ900S,KIT CHAIN SPROCKET,Chain Sprocket Kit,PG
26,K41412ABWK900S,KIT CHAIN SPROCKET,Chain Sprocket Kit,PG
27,K41412KSTG942S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
28,K40405AACNB00S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
29,K41412AAJH600S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
30,K41412AARB000S,CHAIN SPROKET KIT,Chain Sprocket Kit,PG
31,K41412ABAA000S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
32,K41412ABAA001S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
33,K41412ABAA002S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
34,K41412KSTG943S,"KIT, CHAIN SPROCKET",Chain Sprocket Kit,PG
35,20K610S,CHAIN SPROCKET KIT (KARIZMA),Chain Sprocket Kit,PG
36,K41412AAKL900S,KIT CHAIN SPROCKET,Chain Sprocket Kit,PG
37,43120365H70S,SHOE COMP.BRAKE,Brake Shoe,PG
38,45125AAHF0099S,SHOE COMP BRAKE,Brake Shoe,PG
39,43125KST92099S,SHOE COMP.BRAKE,Brake Shoe,PG
40,43125KST940S,SHOE COMP. BRAKE,Brake Shoe,PG
41,45125KCCH00S,SHOE COMP.BRAKE,Brake Shoe,PG
42,K06431198S670S,KIT BRAKE SHOE,Brake Shoe,PG
43,K06431KSTG941S,KIT BRAKE SHOE,Brake Shoe,PG
44,K06431KTCF981S,KIT BRAKE SHOE,Brake Shoe,PG
45,K06431KTNA701S,KIT BRAKE SHOE,Brake Shoe,PG
46,K06451KCCA900S,KIT BRAKE SHOE,Brake Shoe,PG
47,980565773800S,SPARK PLUG,Spark Plug,PG
48,31917AACH00S,SPARK PLUG,Spark Plug,PG
49,31916KPH90099S,SPARK PLUG,Spark Plug,PG
50,31916KRM84099S,SPARK PLUG,Spark Plug,PG
51,31917KPH90099S,SPARK PLUG,Spark Plug,PG
52,31916ABW801S,SPARK PLUG REK6YCA,Spark Plug,PG
53,31916KST920AS,SPARK PLUG,Spark Plug,PG
54,31918HM5630S,SPARK PLUG,Spark Plug,PG
55,31916KRM841S,SPARK PLUG,Spark Plug,PG
56,9805656707M0S,SPARK PLUG,Spark Plug,PG
57,31917KPH901S,SPARK PLUG,Spark Plug,PG
58,31916KPH901S,SPARK PLUG,Spark Plug,PG
59,980695791603S,SPARK PLUG,Spark Plug,PG
60,31918ACA001S,SPARK PLUG,Spark Plug,PG
61,31916ACL001S,SPARK PLUG,Spark Plug,PG
62,51500KRP982S,CUSHION ASSEMBLY LEFT FRONT,Rear Cushion Assembly,PG
63,51400KRP982S,CUSHION ASSEMBLY RIGHT FRONT,Rear Cushion Assembly,PG
64,52400KWA90099S,CUSHION ASSY REAR,Rear Cushion Assembly,PG
65,52400KTR841S,CUSHION ASSY. REAR,Rear Cushion Assembly,PG
66,52400KCC905ZBS,CUSHION ASSY.RR(BLACK),Rear Cushion Assembly,PG
67,52400KWH961ZAS,CUSHION ASSY RR(BLACKNH-1(TYPE-1),Rear Cushion Assembly,PG
68,52400KCC871S,CUSHION ASSY. RR.,Rear Cushion Assembly,PG
69,52400KTCA21S,CUSHION ASSY RR,Rear Cushion Assembly,PG
70,52400KWP900S,CUSHION ASSY REAR,Rear Cushion Assembly,PG
71,51400KWP901S,CUSHION ASSY R FR,Rear Cushion Assembly,PG
72,52400ABW101S,CUSHION ASSEMBLY REAR,Rear Cushion Assembly,PG
73,52400KST951ZAS,CUSHION ASSY REAR(BLK),Rear Cushion Assembly,PG
74,52400KVE861S,CUSHION ASSY REAR,Rear Cushion Assembly,PG
75,52400KTP901S,CUSHION ASSY.REAR,Rear Cushion Assembly,PG
76,52400AAH000RS,CUSHION ASSY. RR (BLK NH-1),Rear Cushion Assembly,PG
77,52400AAW000S,CUSHION ASSY. RR,Rear Cushion Assembly,PG
78,52400KCC905ZAS,CUSHION ASSY.RR(C.R.RED),Rear Cushion Assembly,PG
79,52400KWH9099RS,CUSHION ASSEMBLY REAR NH-1 TYPE-1,Rear Cushion Assembly,PG
80,52400KZAW01S,CUSHION ASSY REAR,Rear Cushion Assembly,PG
