Invoice #	Invoice Date	Invoice Type	Invoice Cancel Date	Status	Invoice Amount	Order #	Order Date	Account Name	Code	Account TIN#	Cash Customer Name	Contact First Name	Contact Last Name	Round Off Amount	Invoice Round Off Amount	Short Amount	Realized Amount	HMCGL Card No	Campaign	B2B Purchase Order #	B2B Order Type	Invoice Header Type	Created By	Inventory Location	Packaging & Forwarding Charges	Tax on Package & Forwarding	Type of Tax P&F	IRN#	IRN Status	Ack#	Ack Date	Credit Note# (Canc.>24h)	IRN# (Canc.>24h)	IRN Status (Canc.>24h)	Ack# (Canc.>24h)	Ack Date (Canc.>24h)
"30305BC26P60507"	"24/03/2026 04:03:31 PM"	"Credit"		"Open"	"Rs.1,254.87"	"30305-02-PSAO-0326-83318"	"17/03/2026 07:58:39 PM"	"GOELSONS"	"30305-02-DLR-0415-2"	"09107700592"				"Rs.0.13"	"Rs.1,255.00"	"Rs.1,255.00"	"Rs.0.00"			"11067-05-PLPO-0326-237"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"f777b03ce73c90e7e08ad2e32f70e1d3eccc977f69f463e7032757cf817332c7"	"ACT"	"142619849413703"	"24/03/2026 04:04:00 PM"					
"30305BC26P60506"	"24/03/2026 04:02:48 PM"	"Credit"		"Open"	"Rs.1,145.91"	"30305-02-PSAO-0326-83854"	"19/03/2026 12:59:09 PM"	"MOSARAM AUTO WORLD PRIVATE LIMITED"	"30305-02-DLR-1024-1"					"Rs.0.09"	"Rs.1,146.00"	"Rs.1,146.00"	"Rs.0.00"			"17032-03-PLPO-0326-359"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"e22290e6c9d47a4d6431899a1e4105ab42a4094a0ee2a489817201f9ae3e0f20"	"ACT"	"142619849405582"	"24/03/2026 04:03:00 PM"					
"30305BC26P60505"	"24/03/2026 04:01:55 PM"	"Credit"		"Open"	"Rs.5,483.15"	"30305-02-PSAO-0326-83200"	"16/03/2026 05:49:23 PM"	"SHRI GANESH AUTO SALES"	"30305-02-ARD-0422-1"					"(Rs.0.15)"	"Rs.5,483.00"	"Rs.5,483.00"	"Rs.0.00"			"67256-03-PLPO-0326-141"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"6fa2df58cf289105930513b1c0300cb6abb00042831951bf720209480019d9b2"	"ACT"	"142619849394912"	"24/03/2026 04:02:00 PM"					
"30305BC26P60504"	"24/03/2026 04:01:04 PM"	"Credit"		"Open"	"Rs.4,603.61"	"30305-02-PSAO-0326-83701"	"19/03/2026 10:22:18 AM"	"DARSHAN SONS"	"30305-02-DLR-0818-8"					"Rs.0.39"	"Rs.4,604.00"	"Rs.4,604.00"	"Rs.0.00"			"11913-03-PLPO-0326-454"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"f4ea68a6d3d9176eaedbd655a81af75b42929622b69cbdb3aac933a7a11da170"	"ACT"	"142619849382139"	"24/03/2026 04:01:00 PM"					
"30305BC26P60503"	"24/03/2026 04:00:28 PM"	"Credit"		"Open"	"Rs.4,603.61"	"30305-02-PSAO-0326-83929"	"19/03/2026 03:17:59 PM"	"M/s SHYAM SONS"	"30305-02-SSP-0424-1"					"Rs.0.39"	"Rs.4,604.00"	"Rs.4,604.00"	"Rs.0.00"			"23757-02-PLPO-0326-124"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"e2dcd776b07d06b4cecb03094f37353c3c974f640883ed6e71557c197ee704a0"	"ACT"	"142619849371470"	"24/03/2026 04:01:00 PM"					
"30305BC26P60502"	"24/03/2026 03:59:42 PM"	"Credit"		"Open"	"Rs.683.06"	"30305-02-PSAO-0326-83853"	"19/03/2026 12:57:58 PM"	"AJAY MOTORS"	"30305-02-ARD-1222-12"					"(Rs.0.06)"	"Rs.683.00"	"Rs.683.00"	"Rs.0.00"			"65471-03-PLPO-0326-152"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"c7582dc4aacbbb309aaaaa94a6d53c1611be7ad78a879255bc14acdca1dbc642"	"ACT"	"142619849360924"	"24/03/2026 04:00:00 PM"					
"30305BC26P60501"	"24/03/2026 03:59:05 PM"	"Credit"		"Open"	"Rs.1,140.72"	"30305-02-PSAO-0326-83805"	"19/03/2026 12:30:17 PM"	"MAHESHWARI MOTORS"	"30305-02-SSP-0415-4"	"09507701481"				"Rs.0.28"	"Rs.1,141.00"	"Rs.1,141.00"	"Rs.0.00"			"20786-02-PLPO-0326-454"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"cffea1bf2824d1327609bccbc8c9828da201f4056a814609522fe0db3dc07e1e"	"ACT"	"142619849354358"	"24/03/2026 03:59:00 PM"					
"30305BC26P60500"	"24/03/2026 03:58:29 PM"	"Credit"		"Open"	"Rs.3,961.97"	"30305-02-PSAO-0326-84888"	"23/03/2026 12:45:28 PM"	"SUPERB MOTOR"	"30305-02-DLR-0525-4"					"Rs.0.03"	"Rs.3,962.00"	"Rs.3,962.00"	"Rs.0.00"			"11383-03-PLPO-0326-514"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"4adb842c67c32ad8def3a7927b44bb325862a2e30794b099e18271983a95029e"	"ACT"	"142619849348144"	"24/03/2026 03:59:00 PM"					
"30305BC26P60499"	"24/03/2026 03:57:42 PM"	"Credit"		"Open"	"Rs.517.13"	"30305-02-PSAO-0326-84890"	"23/03/2026 12:45:35 PM"	"VAISHNO SALES AND SERVICE"	"30305-02-ARD-0222-7"					"(Rs.0.13)"	"Rs.517.00"	"Rs.517.00"	"Rs.0.00"			"66989-03-PLPO-0326-250"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"4c463222e57c2b1b444aa80a8401ae5ea902d2f8f44a3c0b0039bed39e2cace7"	"ACT"	"142619849340072"	"24/03/2026 03:58:00 PM"					
"30305BC26P60498"	"24/03/2026 03:57:04 PM"	"Credit"		"Open"	"Rs.2,427.43"	"30305-02-PSAO-0226-73940"	"09/02/2026 09:43:24 AM"	"GOELSONS"	"30305-02-DLR-0415-2"	"09107700592"				"(Rs.0.43)"	"Rs.2,427.00"	"Rs.2,427.00"	"Rs.0.00"			"11067-03-PLPO-0226-856"	"ZOAC"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"21b4de35dad8c077241c37174bb393290fc6688df40d4eea0024621fc6c6ed8a"	"ACT"	"142619849332213"	"24/03/2026 03:57:00 PM"					
"30305BC26P60497"	"24/03/2026 03:56:58 PM"	"Credit"		"Open"	"Rs.27,065.19"	"30305-02-PSAO-0326-84793"	"23/03/2026 10:03:24 AM"	"SHRI NARAIN AUTO"	"30305-01-DLR-0415-2"	"09754001022"				"(Rs.0.19)"	"Rs.27,065.00"	"Rs.27,065.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"0c18e7391aef548f93dfde69ac421ece1de87ff2baac5ed3cb6e0fbfd576b5e8"	"ACT"	"142619849334558"	"24/03/2026 03:57:00 PM"					
"30305BC26P60496"	"24/03/2026 03:55:34 PM"	"Credit"		"Open"	"Rs.862.45"	"30305-02-PSAO-0326-84978"	"23/03/2026 06:31:06 PM"	"DS MOTORS"	"30305-02-ARD-0820-2"					"(Rs.0.45)"	"Rs.862.00"	"Rs.862.00"	"Rs.0.00"			"66791-03-PLPO-0326-288"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"586aaca6215c8b3f6f5d6d17316cc9900818d8ce438bea56618788cb5ef901ff"	"ACT"	"142619849314013"	"24/03/2026 03:56:00 PM"					
"30305BC26P60495"	"24/03/2026 03:54:11 PM"	"Credit"		"Open"	"Rs.174.16"	"30305-02-PSAO-0326-84993"	"23/03/2026 06:42:23 PM"	"KIPPS AUTO SERVICE"	"30305-02-SSP-0415-5"	"09507502486"				"(Rs.0.16)"	"Rs.174.00"	"Rs.174.00"	"Rs.0.00"			"20669-02-PLPO-0326-486"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"81f408071755646e605a94071c4b40768fee62c113c041a483e905399c94d3a7"	"ACT"	"142619849299273"	"24/03/2026 03:54:00 PM"					
"30305BC26P60494"	"24/03/2026 03:53:46 PM"	"Credit"		"Open"	"Rs.3,839.81"	"30305-02-PSAO-0326-84722"	"23/03/2026 09:39:03 AM"	"DEVAL AUTO SALES"	"30305-01-SSP-0415-4"	"09407309470"				"Rs.0.19"	"Rs.3,840.00"	"Rs.3,840.00"	"Rs.0.00"			"21903-02-PLPO-0326-340"	"STD"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"2809a6d702fc19ab818fbc34a577c5df93aed296a6102cd26b97e2430bb9b52f"	"ACT"	"142619849294621"	"24/03/2026 03:54:00 PM"					
"30305BC26P60493"	"24/03/2026 03:53:32 PM"	"Credit"		"Open"	"Rs.231.11"	"30305-02-PSAO-0326-84884"	"23/03/2026 12:45:12 PM"	"M/S MAHI MOTORS"	"30305-02-SSP-0525-12"					"(Rs.0.11)"	"Rs.231.00"	"Rs.231.00"	"Rs.0.00"			"23763-02-PLPO-0326-237"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"1c27a9349cd35b70a7a44aee6cfd5764e5d66c8d106b830a64226fbb0a689f90"	"ACT"	"142619849291068"	"24/03/2026 03:54:00 PM"					
"30305BC26P60492"	"24/03/2026 03:52:25 PM"	"Credit"		"Open"	"Rs.3,244.69"	"30305-02-PSAO-0326-84887"	"23/03/2026 12:45:24 PM"	"SRIRAM GOMTI AUTOMOBILES"	"30305-01-SSP-0415-3"	"09954200732"				"Rs.0.31"	"Rs.3,245.00"	"Rs.3,245.00"	"Rs.0.00"			"22484-01-PLPO-0326-472"	"VOR"	"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"9681878ef232f4b506786b59dcb8803698f4ccdb02e627c26f9f4c91b2ae2fd3"	"ACT"	"142619849278915"	"24/03/2026 03:52:00 PM"					
"30305BC26P60491"	"24/03/2026 03:51:28 PM"	"Credit"		"Open"	"Rs.5,618.57"	"30305-02-PSAO-0326-84805"	"23/03/2026 10:29:55 AM"	"RITIKA MOTORS"	"30305-02-SSP-1025-21"					"Rs.0.43"	"Rs.5,619.00"	"Rs.5,619.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"aea5d758f95ff4866bbfbf7d520e13019724aa97b17933f6c08ed6c86944503a"	"ACT"	"142619849269023"	"24/03/2026 03:52:00 PM"					
"30305BC26P60490"	"24/03/2026 03:50:08 PM"	"Credit"		"Open"	"Rs.9,940.41"	"30305-02-PSAO-0326-84800"	"23/03/2026 10:19:44 AM"	"PRASHANTI AUTOMOBILES"	"30305-01-DLR-0415-5"	"09109400370"				"(Rs.0.41)"	"Rs.9,940.00"	"Rs.9,940.00"	"Rs.0.00"					"TAX INVOICE"	"30305P34"	"30305 MAIN WAREHOUSE50803AAM000S"		"0"		"35c5e45863d92b7aa9825f2d4823df7be4f384d55d433e2bf7f0977bf4cb6ebb"	"ACT"	"142619849252810"	"24/03/2026 03:50:00 PM"					
